Gene.id	genename	Ctrl_d3_rep1	Ctrl_d3_rep2	R_si628_rep1	R_si628_rep2	Ctrl_d3_rep1.1	Ctrl_d3_rep2.1	R_si628_rep1.1	R_si628_rep2.1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	chromosome	strand	start	end	length	type
ENSG00000146674	IGFBP3	1166.68691202896	1182.10862240042	6783.81296336515	7846.24996175566	10.8709054899122	10.8832798686953	12.8827098465369	13.0730259492657	4244.71461488755	2.6388251194958	0.102873334551599	25.6512062236324	4.09903717079967e-145	6.42032192062353e-141	chr7	-	45912244	45921272	9028	protein_coding
ENSG00000065809	FAM107B	1991.71509441217	2154.82025945511	6724.29667293698	7526.19413505241	11.4113549904876	11.4969045251954	12.8712640383502	13.018301047869	4599.25654046417	1.78076525369804	0.0982858634966237	18.1182236218458	2.28865693483481e-73	1.79236167851588e-69	chr10	-	14518556	14774897	256341	protein_coding
ENSG00000177283	FZD8	1519.99309836718	1614.32547676787	4682.99232579539	4899.5664860742	11.1290437824662	11.1903513732565	12.4103302245953	12.4668964612332	3179.21934675116	1.61200124466446	0.0964226530552933	16.7180760286699	9.67939581691375e-63	5.05361255601067e-59	chr10	-	35638246	35642296	4050	protein_coding
ENSG00000118523	CCN2	15048.5140466697	13163.374591605	36618.1807950155	39033.7916377275	13.9501757686753	13.767083537902	15.1908729185207	15.2811705719319	25965.9652677544	1.42313606960619	0.0886759193919696	16.048732049967	5.83438235681514e-58	2.28459827136989e-54	chr6	-	131948175	131951372	3197	protein_coding
ENSG00000171503	ETFDH	535.783007853566	536.915347040311	1994.31780206671	2063.54638098165	10.2223204980823	10.2238544363173	11.4127624314235	11.4496827725441	1282.64063448556	1.91942383853669	0.121251780627064	15.8300672254891	1.93014867994006e-56	6.04638375478025e-53	chr4	+	158672295	158709623	37328	protein_coding
ENSG00000225783	MIAT	1057.00669484155	1041.6157732582	3251.46891918102	3185.36917695169	10.7793713072487	10.7659988762409	11.9664025543406	11.9421313348579	2133.86514105811	1.61700014701649	0.102972341677324	15.7032473058013	1.43694350890978e-55	3.75114103000899e-52	chr22	+	26646451	26669655	23204	lncRNA
ENSG00000182752	PAPPA	3279.72968032101	3235.80982482961	8028.43433512615	8751.08575657096	11.9766539075071	11.9606902084971	13.1032703577297	13.2173352311467	5823.76489921193	1.3647333902719	0.0885968521119612	15.4038586895533	1.54187364121039e-53	3.28098946913513e-50	chr9	+	116153790	116402321	248531	protein_coding
ENSG00000164171	ITGA2	1949.97837459749	2052.80634351746	5308.43544801422	5343.30490343565	11.3885875356024	11.4440190873218	12.5679432581241	12.5762392784217	3663.63126739121	1.41184053252923	0.091687045774297	15.3984733678159	1.67579108428022e-53	3.28098946913513e-50	chr5	+	52989351	53094779	105428	protein_coding
ENSG00000151892	GFRA1	4140.67085417267	4046.55199886048	1479.55409713536	1420.17992255782	12.2579876990249	12.2298072831726	11.1018895323391	11.0610055527452	2771.73921818158	-1.4973315488646	0.097416019088397	-15.3704859105964	2.58225217029344e-53	4.49397952703402e-50	chr10	-	116056932	116273284	216352	protein_coding
ENSG00000104332	SFRP1	43437.2484917804	42511.1674608284	16231.2409597524	18638.098464187	15.4325053431642	15.401970217317	14.0542007085901	14.2451985724236	30204.438844137	-1.30154009490866	0.0868875087670155	-14.9795996384092	9.98165103532189e-51	1.56342600166247e-47	chr8	-	41261961	41309473	47512	protein_coding
ENSG00000108821	COL1A1	3787.36466783445	3120.37302521594	12369.9911000442	10329.6661899717	12.1491882552584	11.9178520716454	13.6824789965241	13.4388954782566	7401.84874576657	1.71665981079425	0.114991845444729	14.9285351857351	2.14935879613887e-50	3.06049152944755e-47	chr17	-	50184100	50201631	17531	protein_coding
